N°,Variable,Tipo de dato,Descripción,Valores / categorías (frecuencia),Frecuencia válida,n de la encuesta
1,Marca temporal,Fecha/Hora,Fecha y hora en que se registró la respuesta.,Fecha y hora,210 registros,210
2,Puntuación,Numérico entero,Puntuación registrada automáticamente por el formulario.,0 (210),210 registros,210
3,¿Acepta participar en esta encuesta?,Categórico nominal,Indica si el participante acepta responder la encuesta.,"Sí, acepto participar. (210)",210 registros,210
4,1. Rol del participante (Seleccione una opción),Categórico nominal,Rol del participante en el ámbito veterinario.,Administrador(a) de clínica veterinaria (56); Auxiliar o técnico veterinario (55); Médico veterinario(a) (50); Dueño(a) de mascota (49),210 registros,210
5,2. Edad,Categórico ordinal,Rango de edad del participante.,26–35 años (81); 18–25 años (76); 36–45 años (39); 46–55 años (14),210 registros,210
6,3. Sexo,Categórico nominal,Sexo indicado por el participante.,Masculino (112); Femenino (98),210 registros,210
7,4. Ciudad,Categórico nominal,Ciudad de residencia o procedencia indicada por el participante.,Quevedo (53); El Empalme (40); Guayaquil (22); Quevedo  (20); El empalme  (20); Buena Fe (18); Mocache (11); Cuenca  (6); El Empalme  (5); Guayaquil  (4); Manta (4); QUEVEDO  (3); EL EMPALME  (3); Velasco Ibarra  (1),210 registros,210
8,"5. En caso de trabajar en una clínica veterinaria, ¿cuántos años de experiencia tiene?",Categórico ordinal,Tiempo de experiencia trabajando en una clínica veterinaria.,De 2 a 5 años (85); Menos de 1 años (49); No aplica (39); De 6 a 10 años (24); Más de 10 años (13),210 registros,210
9,"6. En caso de ser dueño(a) de mascota, ¿cuántas mascotas tiene actualmente?",Categórico ordinal,Cantidad de mascotas que posee actualmente el participante.,3 o más (65); 2 (59); No aplica (53); 1 (33),210 registros,210
10,1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?,Categórico ordinal,Valoración de la organización y gestión de información en clínicas veterinarias.,Buena (101); Regular (84); Muy mala (11); Muy buena (8); Mala (6),210 registros,210
11,2. ¿Con qué frecuencia considera que se presentan inconvenientes durante la atención o gestión en una clínica veterinaria?,Categórico ordinal,Frecuencia con que se presentan inconvenientes durante la atención o gestión.,Algunas veces (135); Frecuentemente (50); Rara vez (23); Nunca (2),210 registros,210
12,3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?,Categórico ordinal,Nivel de importancia atribuido al uso de un sistema informático.,Muy importante (91); Importante (77); Neutral (20); Poco importante (20); Nada importante (2),210 registros,210
13,4. ¿Cuál de los siguientes aspectos considera que debería mejorarse en una clínica veterinaria?,Categórico nominal,Principal aspecto que debería mejorarse en una clínica veterinaria.,Historial clínico (54); Inventario de medicamentos (53); Comunicación con los dueños de mascotas (44); Facturación (31); Gestión de citas (28),210 registros,210
14,"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?",Categórico ordinal,Percepción sobre la utilidad de recibir recordatorios mediante un sistema digital.,Muy útil (111); Útil (74); Neutral (21); Nada útil (2); Poco útil (2),210 registros,210
15,6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?,Categórico ordinal,Nivel de acuerdo con utilizar IA como apoyo en clínicas veterinarias.,De acuerdo (90); Neutral (49); Totalmente de acuerdo (49); Totalmente en desacuerdo (17); En desacuerdo (5),210 registros,210
16,"7. Desde su experiencia, ¿Cuál considera que es el principal problema o dificultad que existe actualmente en la atención o gestión de una clínica veterinaria?",Texto abierto,Problema o dificultad principal identificado por el participante.,Respuesta abierta (56 respuestas distintas),210 respuestas,210
17,8. ¿Qué características o funciones le gustaría que tuviera un sistema para mejorar la gestión y atención en una clínica veterinaria?,Texto abierto,Funciones o características que el participante quisiera incorporar al sistema.,Respuesta abierta (56 respuestas distintas),210 respuestas,210
18,9. ¿Qué beneficios cree que aportaría un sistema de gestión con inteligencia artificial a una clínica veterinaria?,Texto abierto,Beneficios que el participante considera que aportaría un sistema con IA.,Respuesta abierta (56 respuestas distintas),210 respuestas,210
19,10. ¿Tiene alguna sugerencia o comentario que considere importante para el diseño de un Sistema de Gestión para Clínicas Veterinarias con Inteligencia Artificial (SGCV-IA)?,Texto abierto,Comentarios o sugerencias para el diseño del SGCV-IA.,Respuesta abierta (48 respuestas distintas),210 respuestas,210
