"id_participante","archivo","fecha_sesion","rol","n_palabras_transcripcion"
"P01","2026-05-26_Transcripcion_P01_Entrevista.md","2026-05-26","Veterinario",2360
"P02","2026-05-26_Transcripcion_P02_Entrevista.md","2026-05-26","Veterinario / Administrador de clínica",1987
"P03","2026-07-21_Transcripcion_P03_Entrevista.md","2026-07-21","Veterinario",1688
"P04","2026-07-25_Transcripcion_P04_Entrevista.md","2026-07-25","Veterinario",850
"P05","2026-07-25_Transcripcion_P05_Entrevista.md","2026-07-25","Veterinario",1247
"P06","2026-07-27_Transcripcion_P06_Entrevista.md","2026-07-27","Veterinario",1606
"P07","2026-07-27_Transcripcion_P07_Entrevista.md","2026-07-27","Veterinaria",1673
"P08","2026-07-28_Transcripcion_P08_Entrevista.md","2026-07-28","Veterinario",1624
"P09","2026-08-31_Transcripcion_P09_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",1997
"P10","2026-08-31_Transcripcion_P10_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",1756
"P11","2026-08-31_Transcripcion_P11_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",1853
"P12","2026-08-31_Transcripcion_P12_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",1652
"P13","2026-08-31_Transcripcion_P13_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",2713
"P14","2026-08-31_Transcripcion_P14_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",1314
"P15","2026-08-31_Transcripcion_P15_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",2301
"P16","2026-08-31_Transcripcion_P16_Entrevista.md","2026-08-31","Veterinario/a (por confirmar)",2377
