"pregunta","perfil","n","media","mediana","de","minimo","maximo","iqr"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Todos los perfiles",60,3.35,3,0.94,1,5,1
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria",5,3.8,4,0.45,3,4,0
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario",11,3,3,0.77,1,4,0
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Dueño(a) de mascota",26,3.15,3,1.08,1,5,1
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Médico veterinario(a)",18,3.72,4,0.75,3,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Todos los perfiles",60,4.13,4,0.87,1,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria",5,4.4,5,1.34,2,5,0
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario",11,4.18,4,0.98,2,5,1
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Dueño(a) de mascota",26,3.81,4,0.85,1,5,0.75
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Médico veterinario(a)",18,4.5,4.5,0.51,4,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Todos los perfiles",60,4.38,5,0.85,1,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria",5,4.8,5,0.45,4,5,0
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario",11,4.45,4,0.52,4,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota",26,4.12,4,1.03,1,5,1
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Médico veterinario(a)",18,4.61,5,0.7,3,5,0.75
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Todos los perfiles",60,3.75,4,1.08,1,5,1.25
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria",5,4.4,4,0.55,4,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario",11,3.82,4,1.25,1,5,2
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Dueño(a) de mascota",26,3.62,4,1.13,1,5,1
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Médico veterinario(a)",18,3.72,4,1.02,1,5,1
