"pregunta","perfil","n","estadistico_W","valor_p","nota"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria",5,0.5522,1e-04,"rechaza normalidad (p < 0.05)"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario",11,0.6744,2e-04,"rechaza normalidad (p < 0.05)"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Dueño(a) de mascota",26,0.8574,0.002,"rechaza normalidad (p < 0.05)"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Médico veterinario(a)",18,0.7883,0.001,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria",5,0.5522,1e-04,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario",11,0.8032,0.0104,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Dueño(a) de mascota",26,0.7899,1e-04,"rechaza normalidad (p < 0.05)"
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Médico veterinario(a)",18,0.6423,0,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria",5,0.5522,1e-04,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario",11,0.6492,1e-04,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota",26,0.787,1e-04,"rechaza normalidad (p < 0.05)"
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Médico veterinario(a)",18,0.6087,0,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria",5,0.684,0.0065,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario",11,0.8482,0.0404,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Dueño(a) de mascota",26,0.855,0.0018,"rechaza normalidad (p < 0.05)"
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Médico veterinario(a)",18,0.8559,0.0105,"rechaza normalidad (p < 0.05)"
