"pregunta","perfil_a","perfil_b","prueba","n_a","n_b","estadistico","gl","valor_p","valor_p_holm","significativo_holm_0.05"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario","Wilcoxon (Mann-Whitney U)",5,11,45,NA,0.0284,0.1703,FALSE
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",5,26,88,NA,0.1929,0.5786,FALSE
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",5,18,50,NA,0.7128,0.8688,FALSE
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",11,26,120.5,NA,0.4344,0.8688,FALSE
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",11,18,55,NA,0.029,0.1703,FALSE
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Dueño(a) de mascota","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",26,18,175,NA,0.1372,0.5486,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario","Wilcoxon (Mann-Whitney U)",5,11,34.5,NA,0.4125,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",5,26,97,NA,0.0686,0.343,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",5,18,54,NA,0.4676,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",11,26,183,NA,0.1531,0.6124,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",11,18,85.5,NA,0.5131,1,FALSE
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Dueño(a) de mascota","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",26,18,121.5,NA,0.003,0.0178,TRUE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario","Wilcoxon (Mann-Whitney U)",5,11,37,NA,0.2363,0.9452,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",5,26,92,NA,0.1209,0.6043,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",5,18,49.5,NA,0.6982,0.981,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",11,26,162.5,NA,0.4905,0.981,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",11,18,78.5,NA,0.2932,0.9452,FALSE
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",26,18,164.5,NA,0.0674,0.4043,FALSE
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario","Wilcoxon (Mann-Whitney U)",5,11,34.5,NA,0.4354,1,FALSE
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",5,26,92,NA,0.1273,0.764,FALSE
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",5,18,63.5,NA,0.1536,0.7678,FALSE
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario","Dueño(a) de mascota","Wilcoxon (Mann-Whitney U)",11,26,159.5,NA,0.5771,1,FALSE
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",11,18,108,NA,0.6886,1,FALSE
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Dueño(a) de mascota","Médico veterinario(a)","Wilcoxon (Mann-Whitney U)",26,18,229,NA,0.9096,1,FALSE
