"pregunta","perfil_a","perfil_b","delta_cliff","delta_cliff_ic95_inf","delta_cliff_ic95_sup","cohen_d","cohen_d_ic95_inf","cohen_d_ic95_sup"
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.636,0.182,1,1.148,0.406,3.568
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.354,-0.015,0.654,0.633,0.096,1.134
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.111,-0.322,0.5,0.11,-0.622,0.899
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario","Dueño(a) de mascota",-0.157,-0.493,0.192,-0.153,-0.837,0.434
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Auxiliar o técnico veterinario","Médico veterinario(a)",-0.444,-0.727,-0.116,-0.95,-1.65,-0.333
"1. ¿Cómo califica la organización y gestión de la información en las clínicas veterinarias que conoce o utiliza?","Dueño(a) de mascota","Médico veterinario(a)",-0.252,-0.539,0.066,-0.59,-1.131,-0.048
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.255,-0.364,0.727,0.199,-0.99,1.535
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.492,-0.231,0.923,0.635,-0.735,2.199
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.2,-0.422,0.667,-0.134,-1.591,1.528
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario","Dueño(a) de mascota",0.28,-0.129,0.657,0.421,-0.318,1.291
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Auxiliar o técnico veterinario","Médico veterinario(a)",-0.136,-0.545,0.283,-0.44,-1.234,0.457
"3. ¿Qué tan importante considera el uso de un sistema informático para mejorar la atención y gestión de una clínica veterinaria?","Dueño(a) de mascota","Médico veterinario(a)",-0.481,-0.707,-0.218,-0.945,-1.559,-0.486
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.345,-0.145,0.727,0.688,-0.275,1.842
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.415,0.031,0.692,0.704,0.205,1.207
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.1,-0.311,0.444,0.287,-0.593,0.876
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Dueño(a) de mascota",0.136,-0.199,0.462,0.37,-0.186,0.868
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Auxiliar o técnico veterinario","Médico veterinario(a)",-0.207,-0.581,0.162,-0.245,-1.313,0.422
"5. ¿Qué tan útil considera recibir recordatorios de citas, vacunas, tratamientos o controles veterinarios mediante un sistema digital?","Dueño(a) de mascota","Médico veterinario(a)",-0.297,-0.577,0.006,-0.544,-1.108,0
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Auxiliar o técnico veterinario",0.255,-0.273,0.709,0.531,-0.265,1.33
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Dueño(a) de mascota",0.415,0.038,0.754,0.732,0.218,1.332
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Administrador(a) de clínica veterinaria","Médico veterinario(a)",0.411,0,0.756,0.716,0.095,1.531
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario","Dueño(a) de mascota",0.115,-0.308,0.507,0.174,-0.578,0.922
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Auxiliar o técnico veterinario","Médico veterinario(a)",0.091,-0.348,0.51,0.086,-0.73,0.954
"6. ¿Qué tan de acuerdo está con el uso de Inteligencia Artificial como apoyo para mejorar la gestión y atención en las clínicas veterinarias?","Dueño(a) de mascota","Médico veterinario(a)",-0.021,-0.348,0.308,-0.098,-0.664,0.51
