Participante,Categoria,Codificador1_Marcillo,Codificador2_independiente
P02,Historia clínica y gestión de pacientes,1,1
P02,Gestión administrativa y financiera,1,1
P02,Inventario,1,1
P02,Citas y comunicación con propietarios,1,1
P02,Inteligencia Artificial,1,1
P02,Usabilidad y desempeño,1,1
P02,Seguridad,1,1
P07,Historia clínica y gestión de pacientes,1,1
P07,Gestión administrativa y financiera,0,1
P07,Inventario,0,1
P07,Citas y comunicación con propietarios,1,1
P07,Inteligencia Artificial,1,1
P07,Usabilidad y desempeño,1,1
P07,Seguridad,1,1
P13,Historia clínica y gestión de pacientes,1,1
P13,Gestión administrativa y financiera,1,1
P13,Inventario,1,1
P13,Citas y comunicación con propietarios,1,1
P13,Inteligencia Artificial,1,1
P13,Usabilidad y desempeño,1,1
P13,Seguridad,0,0
P16,Historia clínica y gestión de pacientes,1,1
P16,Gestión administrativa y financiera,1,1
P16,Inventario,1,1
P16,Citas y comunicación con propietarios,1,1
P16,Inteligencia Artificial,1,1
P16,Usabilidad y desempeño,1,1
P16,Seguridad,0,1

N_observaciones,28
Acuerdo_observado_po,0.8929
Acuerdo_esperado_azar_pe,0.8316
Kappa_Cohen,0.3636
Error_estandar_aprox,0.3472
IC_95_inferior,-0.3168
IC_95_superior,1.0441
