nombre_archivo,fecha_captura,dispositivo,hash_sha256
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Aceptacion_IA.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),dae8831ad3b47a20b029460a3e10176ca94e9305e51348e90d332b48f6e43ced
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Aspectos_a_Mejorar.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),711de624746a2d54ea4405675ea258023f9e5d86d9a2e3c9753fc59dc0ba47b2
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Beneficios_IA.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),3ef48dabc467957bd533f3ef91078007a2057a859d85031fe213a9f0ca94239f
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Frecuencia_Inconvenientes_Clinica.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),6ee8c36866d7c417c8886987985dc2e61b09ea487c1be1c6b42db33d44a2c60e
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Funcionalidades_Deseadas.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),0694abb89cc551c18cf6b9e6fd5cf609e665b83eeebc3301737cfcd03cf9c182
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Importancia_Sistema_Informatico.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),93676242837351f438e43d951501c1590d838e70ef2fba9daf85307f5b3b5a25
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Principal_Problema_Clinica.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),f5b9f0d174245858e9b80175ad8877dd679be5b94c7225d46e46d314ebb30db9
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Sugerencias_SGCV_IA.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),755d35918172f9aaf3a410da0e1685c23f7d154e1ed112d18901993dca61b65a
02_Evidencias/Cuestionario/Fotos_Aplicacion/Cuestionario_Utilidad_Recordatorios_Digitales.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),29dff5c0c7b073fcf848de80bbb703ff8c41777a979ef4f816ee8a0fa1d35ab2
02_Evidencias/Cuestionario/Fotos_Aplicacion/Figura_A01_Cuestionario_NombreOrganizacion.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),7ccf05f5474a531cbd6a50c2a2003cf1e175ced6cdf56f5212ea2e38c04b643e
02_Evidencias/Cuestionario/Fotos_Aplicacion/Figura_A01_Cuestionario_RolUsuario.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),01143d5a0d1a40306fdae5191f49218ceace3972a7e6a9afe9b50da370b5c372
02_Evidencias/Cuestionario/Fotos_Aplicacion/Figura_A04_Cuestionario_AnosExperiencia.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),acad96a6db306f175628d831863bb387bb99bdd091dcfaaa98440617c99ced20
02_Evidencias/Cuestionario/Fotos_Aplicacion/Figura_A05_Cuestionario_FrecuenciaAtencion.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),a6f726d600dc040240ab86f865be4bfaac733a6fb42715602d7ca977dde46710
10_Autoria/capturas/2026-09-08 Barrionuevo - Conteo_Codigos_R.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),be6594ab30bccdfa86c5bc456c1afde9d2f47f9d4dbe71965f345b0bfdb13347
10_Autoria/capturas/2026-09-08 Barrionuevo - Datos_Scripts.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),7d952a3f236f2e3362c0e0cafd48e52f0528b673cbba59e93a93295b363c1885
10_Autoria/capturas/2026-09-08 Barrionuevo - Ejecucion_Codigo_run_all.R.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),9443268b047ad7004a8a50514e93ed6a965576a5ee7ddeefc92b3f2db073c970
10_Autoria/capturas/2026-09-08 Marcillo- Prueba de commits realizados 2.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),b2939e798b7d32dd86ae83e2ea4b78964ae726489a2ee392dbd9296af01a1ee0
10_Autoria/capturas/2026-09-08 Marcillo- Prueba de commits realizados..png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),6eb12758cf874846cc0c8e32c5a4cfd9e2c89367e5ab1a6961d424257e048408
10_Autoria/capturas/2026-09-08_robyn_codificacion.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),c10e01ed207ff886c9445334f9ff5ba77b96ff31e9567153fe0bb2c5621a5a77
10_Autoria/capturas/2026-09-08_robyn_ers.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),f102f5c25d7891ca72dacabc19bee10aa0a8e6e59fa0300bcd00a2d32af6f0f4
10_Autoria/capturas/2026-09-08_robyn_subir_commits.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),56647d5bf8df86bddcc532d9cc419adfdcef1a7b84efef770513b80155fa837c
10_Autoria/capturas/2026-09-09 Barrionuevo - Tarea_Limpieza_R.png,No disponible (EXIF no preservado en el archivo),No disponible (EXIF no preservado en el archivo),fe0de1a1de1e071d4640c0b0da3f5e09f30a5fe76c5e0554e30d8a5153bc5930
